id,question,reference,prediction,difficulty,capability,industry,domain,format,score_raw,score_adjusted,has_violation,violation_detail,explanation,time_seconds,semantic_hit@1,semantic_hit@3,semantic_hit@5,semantic_hit@10,semantic_mrr,semantic_ndcg,matched_count,semantic_threshold
1,在冶金轧机这类高负载工艺中，若需超过单台SIMOREG DC Master 6RA70装置的输出能力，应采取何种运行方式来满足需求？,采用多台装置整流并联运行。,"根据提供的检索证据，**没有任何内容**（证据为空）。因此，我无法基于现有证据给出确切的答案。

**需要补充的信息：**
- SIMOREG DC Master 6RA70 的技术手册或应用指南中关于“并联运行”或“主从控制”的章节。
- 关于冶金轧机传动系统设计的标准（如 IEC 或行业规范）。
- 具体说明在超过单台装置额定电流/功率时，如何通过多台装置并联（例如采用“主-从”控制模式）来满足负载需求的描述。

**基于工业常识的补充说明（非基于证据）：**
在冶金轧机这类高负载应用中，若单台 SIMOREG 6RA70 装置输出能力不足，通常采用 **“多台装置并联运行”** 的方式。具体做法是：
1.  **主从控制**：设置一台装置为主机（Master），其余为从机（Slave）。主机接收速度/转矩给定，从机跟随主机的电流或转矩信号。
2.  **均流措施**：通过硬件（如电流互感器、均流电抗器）和软件（参数设定）确保各装置输出电流均衡。
3.  **接口**：通常使用 SIMOREG 装置自带的 CUD1 或 CUD2 板上的模拟量/数字量接口，或通过 PROFIBUS 通信实现主从之间的实时数据交换。

**结论：**
由于证据为空，无法提供基于证据的答案。建议查阅 **SIMOREG DC Master 6RA70 手册** 中关于“Parallel Connection”或“Master-Slave Operation”的章节。",easy,选型与替代,冶金钢铁矿产,工业采购领域,问答题,1,1.0,False,,rule-based coverage score,27.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
2,在需要频繁插拔或固定安装的影音系统中，应优先选用哪种类型的HDMI接口，并说明其物理尺寸和结构优势？,应优先选用标准HDMI接口，其物理尺寸约为14毫米宽、4.5毫米高，具备更大的机械强度和更稳固的接触结构。,"由于提供的检索证据为空，我无法基于任何具体的技术文档或标准来回答您的问题。

**所需补充信息：**
为了准确回答“在需要频繁插拔或固定安装的影音系统中，应优先选用哪种类型的HDMI接口”，我需要以下类型的证据：
1.  **HDMI接口类型标准**：关于HDMI Type A（标准）、Type C（Mini）、Type D（Micro）的物理尺寸、引脚定义及锁紧机构（如带螺丝锁或卡扣的工业级接口）的详细规格。
2.  **耐久性测试数据**：不同接口类型在插拔寿命（如10,000次 vs. 5,000次）和抗拉强度方面的对比数据。
3.  **应用场景指南**：工业或专业影音标准（如SMPTE、CEDIA）中关于固定安装与频繁插拔场景的接口选型建议。

**基于通用工业知识的初步分析（非基于证据）：**
在没有证据的情况下，仅作参考：对于**固定安装**（如机柜内），通常优先选用**HDMI Type A（标准型）** 配合**锁紧式连接器**（如带螺丝或卡扣的工业级HDMI），其物理尺寸较大（约13.9mm x 4.45mm），结构强度高，不易因线缆重量导致接触不良。对于**频繁插拔**（如测试设备），则可能考虑**HDMI Type D（Micro）** 或带有坚固金属外壳的Type A，但需权衡其较小的物理尺寸（Type D约6.4mm x 2.8mm）带来的插拔便利性与较低的机械耐久性。

**结论：** 无法基于空证据给出可靠答案。请提供相关技术标准或手册的检索结果。",medium,选型与替代,电子仪表传感,工业采购领域,问答题,1,1.0,False,,rule-based coverage score,10.003,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
3,在液压系统维护中，若未彻底清除旧油残留物就直接补充新油，可能引发哪些具体问题？,可能引发油品乳化、堵塞过滤器、加剧泵阀磨损，显著缩短新油使用寿命并影响液压系统稳定性。,"根据提供的检索证据，**未检索到任何相关技术文档或标准内容**（证据库为空）。因此，无法基于现有证据回答该问题。

**需要补充的信息：**
- 液压系统维护手册或标准（如ISO 4413、GB/T 3766等）中关于油液更换与清洁度的具体条款。
- 关于新旧油混合后可能引发的化学反应、颗粒污染、油膜强度下降等问题的技术文献或案例。

**基于工业常识的简要说明（非证据支持）：**
若未彻底清除旧油残留物直接补充新油，理论上可能引发以下问题：
1. **油品污染**：旧油中的氧化产物、水分、金属颗粒等污染物会混入新油，加速新油劣化。
2. **添加剂冲突**：新旧油添加剂体系不同，可能导致抗磨、抗泡、抗氧化等性能下降。
3. **系统堵塞**：残留的胶质、漆膜或油泥可能堵塞过滤器、阀芯或节流孔。
4. **密封件损坏**：旧油中的酸性物质或不相容成分可能腐蚀密封件，导致泄漏。
5. **气泡与气蚀**：残留水分或空气在高温高压下可能引发气蚀，损坏泵和阀件。

**建议：** 请提供具体的液压系统维护标准或案例证据，以便给出有据可依的详细诊断。",easy,故障诊断与排查,机械五金加工,工业通用领域,问答题,1,1.0,False,,rule-based coverage score,8.668,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
4,在升降式高杆照明装置中，若采用单根主钢丝绳作为升降系统的上绳，除需满足设计安全系数不小于8外，还应设置哪些安全装置以防止灯盘意外坠落？,应设置防止灯盘意外坠落制动装置或自动卸载装置。,"Based on the provided evidence, there is **no retrieved information** available to answer your question. The evidence section is empty (score = 0.000), meaning no relevant standards, manuals, or specifications were supplied.

**Therefore, I cannot provide a definitive answer based on the evidence.**

However, based on general industrial knowledge of high-mast lighting systems and common safety practices (which I am **not** instructed to use as primary evidence), the typical safety devices required for a single main wire rope system (in addition to the safety factor of ≥8) would include:

- **Secondary safety cable (safety rope):** A separate, independent wire rope that is slack during normal operation but catches the lamp ring if the main rope fails.
- **Catch device / safety catch:** A mechanical locking mechanism (e.g., a spring-loaded pawl or wedge) that engages with the mast or ladder rail to prevent free fall.
- **Over-speed governor / centrifugal brake:** A device that limits the descent speed of the lamp ring in case of rope failure or brake malfunction.
- **Limit switches:** To prevent over-hoisting or over-lowering of the lamp ring.
- **Redundant braking system:** A secondary brake on the winch drum that activates automatically if the primary brake fails.

**To provide a precise, evidence-based answer, please supply the relevant clauses from standards such as:**
- GB/T 24906 (or similar Chinese national standard for high-mast lighting)
- IEC 60598-2-13 (or similar)
- Specific manufacturer installation manuals for the hoisting system.",medium,安全合规与风险控制,电工电器电力,工业通用领域,问答题,0,0.0,False,,rule-based coverage score,9.977,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
5,根据GB/T 19862—2016标准，A级和S级电能质量监测设备在谐波测量能力上有什么具体差异？,A级监测设备要求能够测量到50次谐波，S级监测设备要求能够测量到40次谐波。,"根据提供的检索证据，**没有任何内容**（证据为空）。因此，无法基于现有证据回答关于GB/T 19862—2016标准中A级和S级电能质量监测设备在谐波测量能力上的具体差异。

### 所需补充信息
要准确回答该问题，需要检索并引用以下内容：
- GB/T 19862—2016《电能质量监测设备通用要求》标准中关于A级和S级设备的谐波测量精度、频率范围、谐波次数、测量方法（如FFT窗口、同步采样要求）等具体技术条款。

### 建议
请提供相关的标准文本或技术摘要，以便进行精确对比。",hard,标准规范与术语,电工电器电力,工业通用领域,问答题,1,1.0,False,,rule-based coverage score,8.081,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
6,在功率密度极大的场合中，哪种金属材料常被用于高端散热解决方案以提供更优的热导率？,铜材,"由于提供的检索证据为空（score=0.000），无法基于现有证据给出确切的材料推荐。

**基于工业常识的补充说明（非证据支持）：**
在功率密度极大的场合（如高功率激光器、数据中心CPU/GPU、电力电子模块），**金刚石（Diamond）** 或 **金刚石复合材料（如铜-金刚石、铝-金刚石）** 常被用于高端散热解决方案。金刚石的热导率可达 2000 W/(m·K) 以上，远超铜（约 400 W/(m·K)）和银（约 430 W/(m·K)）。

**所需补充信息：**
- 具体的热导率阈值要求（如 > 1000 W/(m·K)）
- 工作温度范围（影响材料稳定性）
- 热膨胀系数（CTE）匹配要求（如与SiC或GaN芯片的匹配）
- 成本与可加工性限制

| 项目 | 内容 |
|------|------|
| **基于证据的答案** | 无法确定。检索证据为空，无法提供基于证据的推荐。 |
| **工业常识参考** | 在极高功率密度场景，金刚石或金刚石复合材料是常见的高导热选择。 |
| **所需补充信息** | 需提供具体热导率阈值、工作温度、CTE匹配要求及成本限制。 |",easy,选型与替代,通用跨行业,工业通用领域,填空题,0,0.0,False,,rule-based coverage score,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
7,在工业涂料、粘合剂和医用高分子材料三大应用领域中，甲基丙烯酸羟乙酯分别通过哪些分子结构特性实现其功能价值？,工业涂料：碳碳双键参与共聚，羟基参与聚氨酯交联，提升交联密度与机械性能；粘合剂：羟基与双键提供底材润湿性与反应性，增强内聚强度与耐热老化；医用高分子材料：羟基调节亲水性与降解性，分子结构具生物相容性。,"根据提供的检索证据，**没有任何相关文档或信息**（证据为空，score=0.000）。因此，我无法基于现有证据回答关于甲基丙烯酸羟乙酯（HEMA）在工业涂料、粘合剂和医用高分子材料中通过分子结构特性实现功能价值的具体问题。

**需要补充的信息包括：**
- 甲基丙烯酸羟乙酯（HEMA）的分子结构式及其关键官能团（如羟基、酯基、双键）的详细说明。
- 在工业涂料中，HEMA如何通过其羟基提供交联位点或改善附着力、耐候性等性能。
- 在粘合剂中，HEMA的极性基团如何增强对基材的粘接强度或柔韧性。
- 在医用高分子材料中，HEMA的羟基如何赋予材料亲水性、生物相容性或作为水凝胶单体。
- 相关的技术标准、专利或行业手册中的具体描述。

**建议：** 请提供包含上述技术细节的检索证据，以便进行准确、专业的分析。",easy,工艺原理与参数影响,化工材料涂料,工业通用领域,问答题,1,1.0,False,,rule-based coverage score,10.644,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
8,在高湿或盐雾环境中长期使用3Cr13不锈钢刀片的折叠刀，可能面临哪些材料性能方面的风险，应采取什么维护措施？,在高湿或盐雾环境中，3Cr13不锈钢刀片可能发生点蚀；应保持刀具干燥并定期上油养护。,"Based on the provided evidence, there is **no retrieved information** regarding the performance of 3Cr13 stainless steel in high-humidity or salt-spray environments, or any recommended maintenance procedures.

**Insufficient Evidence.** To provide a technically sound answer, the following information is required:

- **Material Specification Data:** The specific chemical composition limits and hardness range for 3Cr13 (e.g., AISI 420 equivalent) and its documented pitting resistance equivalent number (PREN).
- **Corrosion Resistance Data:** Standardized test results (e.g., ASTM B117 salt spray test) for 3Cr13 under various heat treatment conditions.
- **Maintenance Standards:** Industry guidelines (e.g., from knife manufacturers, military standards, or marine equipment standards) for corrosion prevention on martensitic stainless steels.

**Without this evidence, any answer would be speculative.** To properly diagnose the risks and corrective actions, the following data points are needed:

1.  **Risk of Pitting & Crevice Corrosion:** Evidence showing the critical chloride concentration and temperature at which 3Cr13's passive film breaks down.
2.  **Risk of Galvanic Corrosion:** Data on the galvanic potential of 3Cr13 relative to common handle materials (e.g., titanium, aluminum, G10) in a saline electrolyte.
3.  **Risk of Hydrogen Embrittlement:** Evidence on the susceptibility of hardened 3Cr13 (typically 50-55 HRC) to hydrogen-induced cracking in acidic or cathodic protection environments.
4.  **Maintenance Protocols:** Documented procedures for post-exposure rinsing, drying, and application of corrosion-inhibiting lubricants (e.g., TUF-GLIDE, WD-40 Specialist) for martensitic stainless steels.",easy,故障诊断与排查,机械五金加工,工业通用领域,问答题,0,0.0,False,,rule-based coverage score,12.496,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
9,在塑料破碎清洗系统中，为确保破碎机安全稳定运行，启动前应执行什么关键操作？该操作的作用是什么？,启动前应执行手动盘车操作：人力搬动传动轮一周以上，确认无卡滞、无内部异物；作用为规避电机带载启动损坏风险。,"根据提供的检索证据，**未找到任何与塑料破碎清洗系统启动前操作相关的信息**（证据[0]为空）。因此，无法基于现有证据给出具体步骤和参数。

**需要补充的信息：**
- 塑料破碎机（如单轴、双轴、锤式破碎机）的制造商操作手册或安全规程
- 相关工业标准（如GB/T 3785-2019《塑料破碎机》或类似安全规范）
- 清洗系统（如脱水机、摩擦清洗机）与破碎机的联锁控制逻辑

**基于工业通用最佳实践（非证据来源），建议的启动前关键操作如下（仅供参考，需以实际设备手册为准）：**

1. **目视检查与清理**  
   - 检查破碎腔、筛网、刀片是否有异物或残留物料。  
   - 确认清洗系统（如喷淋管路、脱水筛）无堵塞，且所有防护罩、安全门已关闭并锁定。

2. **润滑与冷却系统确认**  
   - 检查轴承、减速机油位是否在正常范围（如油标中线）。  
   - 确认冷却水（如适用）流量、压力正常，避免刀片过热。

3. **电气与控制系统自检**  
   - 检查电机绝缘电阻（通常≥1MΩ），确认控制柜无报警。  
   - 验证急停按钮、过载保护、相序保护器功能正常。

4. **空载试运行**  
   - 启动破碎机空转2-5分钟，监听是否有异响、振动异常。  
   - 确认旋转方向正确（与标识一致），电流稳定在空载额定值内。

5. **清洗系统预启动**  
   - 先启动清洗系统的水泵、输送带，确保物料流动路径畅通。  
   - 待清洗系统稳定后，再逐步向破碎机投料。

**关键作用：**  
- 防止金属异物或硬块损坏刀片、筛网，避免电机过载烧毁。  
- 确保润滑和冷却到位，延长轴承、密封件寿命。  
- 通过空载试运行验证机械与电气系统无故障，避免带病启动引发安全事故（如刀片飞出、火灾）。

**安全警示：**  
- 严禁在防护罩未关闭、安全联锁失效时启动设备。  
- 操作人员必须佩戴耳塞、护目镜，并远离投料口。  

> 注：以上步骤为通用工业实践，具体参数（如空载时间、电流阈值）需依据设备铭牌或制造商文件。建议补充检索《塑料破碎机安全操作规程》或设备说明书以获取精确数据。",hard,安全合规与风险控制,机械五金加工,工业通用领域,问答题,0,0.0,False,,rule-based coverage score,11.861,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
10,在园林绿化作业中，为何采用四冲程风冷式小型汽油发动机的篱笆剪比常见二冲程机型更适合长时间间歇性作业？,四冲程风冷发动机在低速扭矩、燃油经济性、使用寿命方面优于二冲程机型；风冷设计无需液冷部件，结构轻便、维护简便，且在连续高温环境下散热稳定。,"Based on the provided evidence, I am unable to answer this question.

The retrieved evidence section is empty (score = 0.000), containing no technical data, standards, or specifications regarding two-stroke or four-stroke small gasoline engines, hedge trimmers, or their operational characteristics in landscaping.

To provide a technically accurate answer comparing the suitability of four-stroke air-cooled engines versus two-stroke engines for intermittent hedge trimming work, the following information would be required:

1.  **Engine Lubrication Systems:** Evidence comparing the oil-mix requirements of two-stroke engines versus the separate oil sump of four-stroke engines, specifically regarding fuel degradation and carburetor fouling during idle periods.
2.  **Thermal Management:** Data on the cooling efficiency of air-cooled four-stroke engines during low-load, intermittent operation versus two-stroke engines.
3.  **Emissions and Fuel Efficiency:** Standards or specifications (e.g., EPA, CARB) regarding exhaust emissions and fuel consumption at varying throttle positions for both engine types.
4.  **Maintenance Schedules:** Manufacturer recommendations for storage, fuel stabilization, and service intervals for intermittent-use equipment.

Without this evidence, any comparison would be speculative and could lead to incorrect operational or safety conclusions.",easy,工艺原理与参数影响,机械五金加工,工业采购领域,问答题,0,0.0,False,,rule-based coverage score,9.198,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15
